Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Etiquetas,Etiquetas,Etiquetas,Etiquetas,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace de incidencia saliente (Blocks),Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Fecha de inicio),Sprint,Sprint,Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (Vulnerabilidad),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
ÉPICA 1: Infraestructura y Core del Sistema,SE-4,10187,Epic,Tareas por hacer,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,,,,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,11/jun/26 11:57 PM,16/jun/26 2:13 PM,,,19/jun/26 12:00 AM,0,core,infra,,,"Establecer la base técnica completa del sistema: base de datos multi-tenant, arquitectura de seguridad RBAC, y entornos de desarrollo frontend/backend. Esta épica cubre el Sprint 1 completo y parte del Sprint 2 (RBAC avanzado).",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,,0|i0004f:,purple,11/jun/26 12:00 AM,SE Sprint 1,SE Sprint 2,,,,,Por hacer,11/jun/26 11:57 PM,,,
HU 1.1 – Configuración de Entornos y Base de Datos,SE-6,10189,Historia,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,Listo,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,12/jun/26 12:32 AM,15/jun/26 6:12 PM,15/jun/26 4:47 PM,15/jun/26 6:12 PM,,0,backend,infra,,,"Como administrador de sistemas, quiero desplegar la infraestructura base en Supabase para garantizar el almacenamiento seguro, aislado y escalable de la Escuela El Salvador, con arquitectura preparada para múltiples tenants futuros.

Criterios de Aceptación- Repositorios activos con estructura de ramas main/develop definida y política de PRs configurada. - Script DDL ejecutado en Supabase generando las 11 tablas del esquema. - RLS habilitado: consulta sin tenant_id configurado retorna 0 filas. - Tenant ""Escuela El Salvador"" insertado y verificable en tabla tenants.",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,SE-8,SE-9,SE-11,SE-10,,0|i0004o:,,,SE Sprint 1,,,,,,Listo,15/jun/26 6:12 PM,10187,SE-4,ÉPICA 1: Infraestructura y Core del Sistema
TAREA 1.2.4 — Middleware de Bitácora de Auditoría,SE-15,10198,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,Listo,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,12/jun/26 12:59 AM,15/jun/26 4:46 PM,15/jun/26 4:29 PM,15/jun/26 4:46 PM,,0,auditoria,backend,seguridad,,"Implementar el middleware de auditoría que registra automáticamente cada evento CRUD en la tabla auditoria (RF-03). Subtareas: (1) Crear middleware auditLogger que intercepte POST, PUT, PATCH, DELETE. (2) Registrar: usuario_id, tenant_id, accion (CREATE/UPDATE/DELETE), tabla_afectada, registro_id, fecha_hora, ip. (3) Asegurar que el registro sea asíncrono y no bloquee la respuesta. (4) Test: crear un incidente y verificar que aparece el registro en tabla auditoria.

Criterios de Aceptación- 
Cada operación POST/PUT/PATCH/DELETE genera un registro en tabla auditoria. - El registro incluye todos los campos: usuario, tenant, acción, tabla, id, timestamp, IP. - El middleware no aumenta el tiempo de respuesta más de 50ms. - Registro es invisible para el usuario final (no aparece en respuestas de la API).",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-5,0|i0004q:,,,SE Sprint 1,,3.0,,,,Listo,15/jun/26 4:46 PM,10187,SE-4,ÉPICA 1: Infraestructura y Core del Sistema
"TAREA 1.2.2 — Endpoints Auth, JWT y bcrypt",SE-13,10196,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,Listo,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,12/jun/26 12:51 AM,15/jun/26 2:24 PM,15/jun/26 12:47 PM,15/jun/26 2:24 PM,,0,backend,seguridad,utenticacion,,"Desarrollar el sistema completo de autenticación cumpliendo RF-01. Dependencias adicionales: jsonwebtoken, bcrypt. Subtareas: (1) POST /api/v1/auth/login: recibe {email, password}, verifica usuario, verifica bloqueo, compara con bcrypt.compare(), en fallo incrementa intentos_fallidos (al llegar a 5: bloqueado_hasta = NOW() + 15min), en éxito genera JWT {user_id, tenant_id, rol, email} exp 8h. Retorna {token, user: {id, nombre, apellido, email, rol}}. (2) GET /api/v1/auth/me: requiere token, retorna datos del usuario. (3) Middleware authenticateToken: verifica JWT en header Authorization: Bearer <token>. (4) Script seed usuario admin con contraseña hasheada (bcrypt coste 10). (5) Colección Postman exportada a /docs/postman.

Criterios de Aceptación-
 Login con credenciales válidas → 200 + token JWT + datos de usuario. - Login incorrecto → 401 con mensaje genérico. - Tras 5 intentos fallidos → 403 ""Cuenta bloqueada temporalmente"". - JWT contiene user_id, tenant_id, rol (verificable en [http://jwt.io|http://jwt.io|smart-link] ). - Contraseñas hasheadas con bcrypt factor coste mínimo 10. - GET /api/v1/auth/me con token válido → 200; con token inválido → 401. - Colección Postman exportada en /docs/postman.",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-5,0|i0004u:,,,SE Sprint 1,,5.0,,,,Listo,15/jun/26 2:24 PM,10187,SE-4,ÉPICA 1: Infraestructura y Core del Sistema
TAREA 1.3.4 — Zustand Store: Auth State,SE-19,10202,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,Listo,Daniel Flores,62e971c2f15eecaf500dbfca,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,12/jun/26 1:08 AM,13/jun/26 2:12 PM,12/jun/26 1:11 AM,13/jun/26 2:12 PM,,0,estado,frontend,utenticacion,,"Implementar el store global de autenticación con Zustand para manejar el estado del usuario autenticado en toda la aplicación. Subtareas: (1) Crear useAuthStore con estado: token, user, isAuthenticated. (2) Acciones: login(token, user), logout(). (3) Hidratación inicial desde localStorage al cargar la app. (4) Exportar hook useAuth() para consumo en componentes.

Criterios de Aceptación- 
useAuth().isAuthenticated retorna true cuando hay token válido en localStorage. - login() guarda token en localStorage y actualiza el estado global. - logout() limpia localStorage y resetea el estado a valores iniciales. - El estado persiste correctamente al refrescar la página.",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-7,0|i00052:i,,,SE Sprint 1,,1.0,,,,Listo,13/jun/26 2:12 PM,10187,SE-4,ÉPICA 1: Infraestructura y Core del Sistema
TAREA 1.3.3 — Rutas privadas React (PrivateRoute),SE-18,10201,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,Listo,Daniel Flores,62e971c2f15eecaf500dbfca,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,12/jun/26 1:05 AM,13/jun/26 2:12 PM,12/jun/26 1:06 AM,13/jun/26 2:12 PM,,0,frontend,routing,utenticacion,,"Configurar el sistema de rutas con protección por autenticación. 
Subtareas: (1) Configurar react-router-dom con rutas: /login (pública), /dashboard (privada), /no-autorizado (pública), * (redirección según sesión). (2) Crear componente PrivateRoute: verifica token en localStorage, redirige a /login si no existe. (3) Crear páginas placeholder DashboardPage y UnauthorizedPage. (4) Función logout: limpia localStorage y redirige a /login. (5) Interceptor axios: captura 401 del backend y ejecuta logout automático.

Criterios de Aceptación- 
Acceder a /dashboard sin token redirige automáticamente a /login. - Con token válido renderiza DashboardPage correctamente. - Token inválido/expirado: interceptor detecta 401 y ejecuta logout + redirección. - Función logout limpia localStorage y redirige a /login. - Refrescar el navegador en ruta privada mantiene sesión si el token es válido.",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-7,0|i00052:j,,,SE Sprint 1,,2.0,,,,Listo,13/jun/26 2:12 PM,10187,SE-4,ÉPICA 1: Infraestructura y Core del Sistema
TAREA 1.3.2 — UI Login y consumo API Auth,SE-17,10200,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,Listo,Daniel Flores,62e971c2f15eecaf500dbfca,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,12/jun/26 1:02 AM,13/jun/26 2:12 PM,12/jun/26 1:07 AM,13/jun/26 2:12 PM,,0,frontend,UI,utenticacion,,"Construir la pantalla de inicio de sesión con diseño institucional responsivo, integrada con el backend. 

Subtareas: (1) Construir LoginPage: logo, campo email institucional, campo contraseña con toggle mostrar/ocultar, botón ""Iniciar sesión"" con spinner, mensaje de error bajo el formulario. (2) Integrar con POST /api/v1/auth/login usando axios. (3) En éxito: guardar token en localStorage + datos en Zustand store, redirigir a /dashboard. (4) En fallo 401: mostrar mensaje genérico de error. (5) En fallo 403: mostrar ""Cuenta bloqueada temporalmente, intenta en 15 minutos"". (6) Validación client-side con react-hook-form: bloquear envío con campos vacíos. (7) Diseño mobile-first desde 360px.

Criterios de Aceptación- 
Login renderiza correctamente en mobile (360px), tablet y desktop. - Login exitoso con credenciales del admin seed redirige a /dashboard. - Login fallido muestra mensaje de error en UI sin recargar la página. - Token JWT almacenado en localStorage tras éxito. - Botón muestra spinner y se deshabilita durante la petición (evita doble envío). - Toggle mostrar/ocultar contraseña funciona correctamente. - Formulario bloquea envío si algún campo está vacío.",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-7,0|i00052:k,,,SE Sprint 1,,4.0,,,,Listo,13/jun/26 2:12 PM,10187,SE-4,ÉPICA 1: Infraestructura y Core del Sistema
TAREA 1.3.1 — Setup React + Vite + Tailwind,SE-16,10199,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,Listo,Daniel Flores,62e971c2f15eecaf500dbfca,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,12/jun/26 1:00 AM,13/jun/26 2:12 PM,12/jun/26 1:01 AM,13/jun/26 2:12 PM,,0,frontend,setup,,,"Inicializar el proyecto frontend con React, Vite y Tailwind CSS. Dependencias: axios, react-router-dom, react-hook-form, zustand. Estructura de carpetas: /src/assets, /src/components, /src/pages, /src/hooks, /src/services, /src/store, /src/utils. Subtareas: (1) npm create vite@latest siga-frontend -- --template react. (2) Instalar y configurar Tailwind CSS v3 con PostCSS. (3) Instalar dependencias base. (4) Configurar alias @/ para importaciones absolutas. (5) Configurar instancia axios con baseURL desde .env e interceptor para adjuntar JWT. (6) Documentar estructura en README.

Criterios de Aceptación- 
npm run dev inicia sin errores en localhost:5173. - npm run build genera build sin errores ni warnings críticos. - Tailwind funciona: clase bg-blue-500 renderiza correctamente. - Interceptor axios adjunta Authorization: Bearer <token> cuando hay sesión activa.",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-7,0|i00052:m,,,SE Sprint 1,,1.0,,,,Listo,13/jun/26 2:12 PM,10187,SE-4,ÉPICA 1: Infraestructura y Core del Sistema
HU 1.3 – Core Frontend y Acceso Privado,SE-7,10190,Historia,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,Listo,Daniel Flores,62e971c2f15eecaf500dbfca,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,12/jun/26 12:34 AM,13/jun/26 2:12 PM,12/jun/26 1:16 AM,13/jun/26 2:12 PM,,0,frontend,UI,,,"Como usuario final, quiero una interfaz de acceso rápida y responsiva para ingresar al sistema desde cualquier dispositivo escolar (computador, tablet o celular desde 360px de ancho).

Criterios de Aceptación- Proyecto React compila sin errores con Tailwind CSS configurado. - Pantalla de login funcional: credenciales válidas redirigen al dashboard. - Rutas protegidas redirigen automáticamente a /login cuando no hay token válido. - Interfaz completamente operativa desde 360px de ancho (RNF-08 mobile-first).",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,SE-16,SE-18,SE-17,SE-19,,0|i00052:r,,,SE Sprint 1,,,,,,Listo,13/jun/26 2:12 PM,10187,SE-4,ÉPICA 1: Infraestructura y Core del Sistema
TASK 1.1.1 — Setup repositorios GitHub y variables de entorno,SE-8,10191,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,Listo,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,12/jun/26 12:36 AM,12/jun/26 10:02 AM,12/jun/26 9:00 AM,12/jun/26 10:02 AM,,0,backend,infra,setup,,"Crear y configurar los repositorios de código para el proyecto, estableciendo la estructura de ramas, convenciones de commits y archivos de entorno. Subtareas: (1) Crear siga-backend en GitHub con ramas main y develop. (2) Crear siga-frontend en GitHub con misma estructura. (3) Definir .env.example backend: DATABASE_URL, JWT_SECRET, PORT, SUPABASE_URL, SUPABASE_SERVICE_KEY, NODE_ENV. (4) Definir .env.example frontend: VITE_API_URL, VITE_SUPABASE_URL, VITE_SUPABASE_ANON_KEY. (5) Agregar .gitignore para Node.js y React/Vite. (6) Documentar README.md con instrucciones de instalación local. (7) Configurar política de PRs: 1 aprobación antes de merge a main.

Criterios de Aceptación- 
Ambos repos con ramas main y develop creadas y visibles en GitHub. - .env.example presente en ambos repos con todas las variables (sin valores reales). - .gitignore activo: ningún .env con datos reales aparece en commits. - README.md con instrucciones de setup local completas. - Un PR de prueba procesado exitosamente respetando la política de ramas.",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-6,0|i00053:,,,SE Sprint 1,,2.0,,,,Listo,12/jun/26 10:02 AM,10187,SE-4,ÉPICA 1: Infraestructura y Core del Sistema
